Base ID:,National ID:,Unlic. ID:,Unl. Nat. ID:,Nationality:,,Deprecated nat.:,,Full real name:,Proposed in-game name:,Date of birth:,Soccerway:,Name in home country or alternative:,Real name in-game:,Real name in-game (japanese):,Real name in-game (chinese):,License status:,Adaptability:,Look-alike name:,Look-alike name (japansese):,Fake name:,Fake name (japanese),Fake name (chinese):,PES 2021:,PES 2020:,PES 2019:,PES 2018:,PES 2017:,PES 2016:,PES 2015:
180,131252,262324,393396,215,Italian,‒,‒,Giuseppe 'Beppe' Sannino,G. SANNINO,4/30/1957,194720,,,,,FALSE,,SORCCHIO,ソルッキオ,"D. PINATO
E. FRUTTI","ドナート ピナート
エヴァンジェリスタ フルッティ",,,,,,PES2017,,PES2015
181,131253,262325,393397,236,Spanish,‒,‒,Aitor Karanka de la Hoz,A. KARANKA,9/18/1973,224160,,,,,FALSE,73,KURAMUJO,クラムホ,"R. ORBAIZ
F. BLAS
S. PARADA
R. DIEZ","ロベルト オルバイス
フェデリコ ブラス
セルヒオ パラダ
ロヘル ディエス",罗伯托·奥尔贝斯,PES2021,,PES2019,PES2018,PES2017,PES2016,PES2015
182,131254,262326,393398,147,Chilean,‒,‒,Ivo Alexis Basay Hatibović,,4/13/1966,157882,,I. BASAY,イボ バサイ,,TRUE,66,,,J. GASULL,ハイメ ガスール,海梅·加苏尔,PES2021,PES2020,PES2019,,,,
183,131255,262327,393399,147,Chilean,‒,‒,Jaime Andrés Vera Rodríguez,,3/25/1963,170512,,J. VERA,"ハイメ ベラ
ベラ",,TRUE,65,,,S. AIDO,セルヒオ アイード,,,,PES2019,PES2018,PES2017,PES2016,
184,131256,262328,393400,236,Spanish,‒,‒,Juan Ignacio Martínez Jiménez,JUAN IGNACIO MARTÍNEZ,6/23/1964,164994,,,,,FALSE,71,,,A. GUIZA,アルフレード グイサ,阿尔弗雷多·古伊萨,PES2021,,,,,,
185,131257,262329,393401,146,Brazilian,‒,‒,Marcelo de Oliveira Santos,M. OLIVEIRA,3/4/1955,129808,,,,,FALSE,74,OWARZINHO,オヴァルジーニョ,"G. FIGUEIRA
F. PEREIRO
E. LOBO
A. FIGUEIRA
N. CORREIA
G. REIS","グラウシオ フィゲイラ
フランシスコ ペレイロ
エレウテリオ ロボ
アギナウヂ フィゲイラ
ネトゥノ コレイア
ジェラルド ヘイス",,,,PES2019,PES2018,PES2017,PES2016,PES2015
186,131258,262330,393402,146,Brazilian,‒,‒,Levir Culpi,,2/28/1953,179276,,LEVIR CULPI,レヴィー クルピ,,TRUE,72,CAPRA,カプラ,"O. MOURA
J. ALMEIDA
V. PERES
E. SERPA
J. ESTEVES
T. MEDEIROS","オドゥヴァウド モウラ
ジョルジェ アルメイダ
ヴィコル ペレス
エミリアノ セルパ
ジョルジ エステヴェス
トリスタン メデイロス",奥杜瓦尔多·莫拉,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
187,131259,262331,393403,146,Brazilian,‒,‒,Abel Carlos da Silva Braga,A. BRAGA,9/1/1952,113209,,ABEL BRAGA,アベウ ブラガ,,TRUE,77,BUROGAL,ブロガウ,"C. NUNES
L. CHAVES
J. CERVEIRA","クラウジオ ヌネス
ラゴ シャヴェス
ジョアン セルヴェイラ",克劳迪奥·努涅斯,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
188,131260,262332,393404,224,Dutch,‒,‒,Hendrikus 'Henk' Fraser,H. FRASER,7/7/1966,107055,,,,,FALSE,71,FARGOOLD,ファルホールト,"M. DE WIT
L. BOSCH
T. VAN DER VEN","マレイン デ ウィト
ラウレンス ヤン ボス
トロンプ ファン デル フェン",马赖因·德威特,PES2021,PES2020,,PES2018,PES2017,PES2016,PES2015
189,131261,262333,393405,204,English,‒,‒,Lee Robert Clark,L. CLARK,10/27/1972,169893,,,,,FALSE,,CLAMP,クランプ,,,,,,,,,,PES2015
190,131262,262334,393406,204,English,‒,‒,Stephen 'Steve' McClaren,S. MCCLAREN,5/3/1961,110873,,,,,FALSE,,MACLEAGUN,マクリーガン,,,,,,,,,,PES2015
191,131263,262335,393407,208,French,‒,‒,Erick Mombaerts,E. MOMBAERTS,4/21/1955,223114,,,,,FALSE,,MOUNBERD,ムンベール,,,,,,,,,,PES2015
192,131264,262336,393408,204,English,‒,‒,Stuart Pearce,S. PEARCE,4/24/1962,106321,,,,,FALSE,,PERCHACE,パーチェイス,,,,,,,,,,PES2015
193,131265,262337,393409,204,English,‒,‒,Stuart Gray,S. GRAY,4/19/1960,230916,,,,,FALSE,,GUNTY,ガンティ,L. COGAN,ロト コーガン,,,,,,,PES2016,PES2015
194,131266,262338,393410,214,Irish,204,English,Michael 'Mick' Joseph McCarthy,,2/7/1959,110699,,M. MCCARTHY,ミック マッカーシー,米克·麦卡锡,TRUE,72,MACCRABER,マククラバー,"P. LINFOOT
C. TOLKIEN
K. OLIVER","フィリップス リンフット
コーマック トールキン
キア オリヴァー",菲利普斯·林富特,PES2021,PES2020,,PES2018,PES2017,PES2016,PES2015
195,131267,262339,393411,147,Chilean,‒,‒,Mario Alfredo Salas Saieg,,10/11/1967,229752,,M. SALAS,"マリオ サラス
サラス",马里奥·萨拉斯,TRUE,66,SERAZEDI,セラセディ,J. OCANA,ファン アルベルト オカーニャ,,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
197,131269,262341,393413,236,Spanish,‒,‒,Álvaro Cervera Díaz,Á. CERVERA,9/20/1965,223108,,,,,FALSE,69,CIBARIGNA,シバリニャ,"F. ERICE
A. BELLO","フランシスコ エリセ
アベラルド ベーリョ",弗朗西斯科·埃里塞,PES2021,PES2020,,PES2018,PES2017,,PES2015
198,131270,262342,393414,236,Spanish,‒,‒,Gaizka Garitano Aguirre,G. GARITANO,7/9/1975,248135,,,,,FALSE,76,GONTARIZ,ゴンタリス,"J. ABRIL
C. IBANEZ
I. ARRESA
R. MULLERA","フレン アブリル
コスメ イバニェス
イマノル アレザ
ルーベン ミューラー",胡伦·阿夫里尔,PES2021,PES2020,PES2019,,PES2017,PES2016,PES2015
199,131271,262343,393415,147,Chilean,‒,‒,José Miguel Cantillana Galea,J. CANTILLANA,10/1/1966,78472,,,,,FALSE,,CENTHOLIM,セントリム,S. LANDA,サムエル ランダ,,,,,,,PES2016,PES2015
200,131272,262344,393416,144,Argentine,‒,‒,Marcelo Antonio Trobbiani Ughetto,M. TROBBIANI,2/17/1955,269532,,,,,FALSE,,TALCCHINI,タルッキーニ,,,,,,,,,,PES2015
201,131273,262345,393417,147,Chilean,‒,‒,Jorge Alberto Pellicer Barceló,,2/7/1966,178823,,J. PELLICER,ペリセル,,TRUE,68,,,"C. BALART
B. SALAVERRI","カルレス バラルト
ベニート サラベリ",卡莱斯·巴拉特,PES2021,,,,PES2017,PES2016,
202,131274,262346,393418,147,Chilean,‒,‒,Luis Fernando 'El Zamorano' Vergara Meyland,,5/13/1970,170484,,F. VERGARA,"フェルナンド ベルガラ
ベルガラ",,TRUE,,,,"O. URDANGARIN
G. PALOP","オズバルド ウルダンガリン
ガビーノ パロップ",,,,,PES2018,PES2017,PES2016,
203,131275,262347,393419,200,Croatian,‒,‒,Zlatko Dalić,Z. DALIĆ,10/26/1966,143757,,"Z. DALIC
ZLATKO DALIC",ズラトコ ダリッチ,兹拉特科·达利奇,TRUE,82,,,,,,PES2021,PES2020,PES2019,,,PES2016,
204,131276,262348,393420,31,Saudi,‒,‒,Khalid Abdulrahman Al-Koroni,K. AL-KORONI,12/31/1959,197887,خالد عبد الرحمن القروني,,,,UNATTESTED,,,,,,,,,,,,,
205,131277,262349,393421,229,Romanian,‒,‒,Laurențiu Aurelian Reghecampf,,9/19/1975,137734,,L. REGHECAMPF,ラウレンツィウ レゲカンプ,劳伦蒂乌·雷格坎普夫,TRUE,71,,,,,,PES2021,PES2020,PES2019,PES2018,,,
206,131278,262350,393422,92,Tunisian,‒,‒,Ammar Souayah,,6/11/1957,217649,عمار السويّح‎,AMMAR SOUAYAH,アマル スアヤー,,TRUE,,,,,,,,,,,,,PES2015
207,131279,262351,393423,229,Romanian,‒,‒,Aurelian Cosmin Olăroiu,,6/10/1969,113231,,C. OLĂROIU,"コスミン オリャロイウ
コスミン オラロイ
オリャロイウ",科斯明·奥拉罗尤,TRUE,77,,,A. ROBERT,アラン ロバーツ,,PES2021,PES2020,PES2019,PES2018,,PES2016,PES2015
208,131280,262352,393424,197,Belgian,‒,‒,Eric Maria Gerets,,5/18/1954,113236,,E. GERETS,ジェレツ,,TRUE,,,,,,,,,,,,,PES2015
209,131281,262353,393425,76,Moroccan,‒,‒,Lhoussaine Ammouta,,10/24/1969,168045,الحسين عموتة‎,"L. AMMOUTA
H. AMMOUTA",フサイン アムタ,,TRUE,,,,,,,,,,,,PES2016,PES2015
210,131282,262354,393426,236,Spanish,‒,‒,Manuel 'Manolo' Enrique Jiménez Jiménez,,1/26/1964,110780,,"MANOLO JIMÉNEZ
MANOLO JIMENEZ",マノロ ヒメネス,马诺罗·希门尼斯,TRUE,75,,,,,,PES2021,PES2020,PES2019,PES2018,,,PES2015
211,131283,262355,393427,92,Tunisian,‒,‒,Nabil Maâloul,N. MAÂLOUL,7/25/1962,196293,نبيل معلول‎,N. MAALOUL,マールル,,TRUE,,,,,,,,,,,,,PES2015
212,131284,262356,393428,146,Brazilian,‒,‒,Jorvan Vieira,J. VIEIRA,5/24/1953,177776,,,,,FALSE,,VAELGUA,ヴァエウガ,,,,,,,,,,PES2015
213,131285,262357,393429,37,Emirati,‒,‒,Mahdi Ali Hassan Redha,MAHDI ALI,4/20/1965,152795,مهدي علي حسن رضا,,,,FALSE,69,MERAZADEH,メラザデフ,"S. BAHIR
H. BAKI
T. BAHIR","サイフ バヒル
ハビブ バキ
タラト バヒル",,,,PES2019,PES2018,PES2017,PES2016,PES2015
214,131286,262358,393430,236,Spanish,‒,‒,Juan Ramón López Caro,,3/23/1963,136263,,LÓPEZ CARO,ロペス カロ,卡罗,TRUE,76,REZALLEDI,レサジェディ,H. UBAGO,アリッツ ウバゴ,,,PES2020,PES2019,,PES2017,,PES2015
215,131287,262359,393431,58,Egyptian,‒,‒,Shawky Gharieb Bayoumi,S. GHARIEB,2/26/1959,221364,شوقي غريب بيومي,,,,FALSE,,GOBILAN,ゴビラン,,,,,,,,,,PES2015
216,131288,262360,393432,236,Spanish,‒,‒,Josep 'Pep' Guardiola i Sala,,1/18/1971,104652,,P. GUARDIOLA,ペップ グアルディオラ,,TRUE,92,,,"L. ROMAN
C. BALLADA
H. NOVO
L. DEL MORAL","ルイス アルベルト ロマン
セレドニオ バラーダ
エルナンド ノボ
ロレンツォ デル モラル",路易斯-阿尔维托·罗曼,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
217,131289,262361,393433,210,German,‒,‒,Jens Keller,,11/24/1970,159256,,J. KELLER,ケラー,,TRUE,,,,,,,,,,,,,PES2015
218,131290,262362,393434,210,German,‒,‒,Roger Schmidt,,3/13/1967,195401,,R. SCHMIDT,"ロジャー シュミット
シュミット","罗格·施密特
罗杰·施密特",TRUE,79,,,F. GELLERT,フェルディナント ゲラート,费迪南多·盖勒特,PES2021,PES2020,PES2019,,PES2017,,PES2015
219,131291,262363,393435,236,Spanish,‒,‒,José Manuel 'Manolo' Díaz Fernández,J. M. DÍAZ,8/30/1968,262233,,,,,FALSE,,DORZARE,ドルサレ,G. ESTEBAN,ゴルカ エステバン,,,,,,,PES2016,PES2015
220,131292,262364,393436,241,Welsh,‒,‒,Leslie Mark Hughes,M. HUGHES,11/1/1963,110680,,,,,FALSE,75,HUTCHINNS,ハッチンス,"A. LODER
E. TYLER
Q. ROXBURGH
T. CARAHER","アデル ローダー
エメルソン タイラー
クェンティン ロクスバラ
トロイ カラハー",,,,PES2019,PES2018,PES2017,PES2016,PES2015
221,131293,262365,393437,152,Uruguayan,‒,‒,Gustavo Augusto 'Gus' Poyet Domínguez,,11/15/1967,169885,,G. POYET,グスタボ ポジェト,古斯塔沃·波耶特,TRUE,74,PEJARU,ペハル,"B. WEINDLER
O. BUENDIA
O. REKARTE","ブラス バインドラー
オイエル ブエンディア
オレゲール レカルテ",,PES2021,,PES2019,PES2018,PES2017,,PES2015
222,131294,262366,393438,204,English,‒,‒,Garry Alan Monk,G. MONK,3/6/1979,47565,,,,,FALSE,67,MEYCERS,メイサーズ,"J. BRADSHAW
H. BLEASDALE
W. DRUMMOND","ジュニアス ブラッドショー
ヒューバート ブリースデール
ウィリス ドラモンド",朱尼厄斯·布拉德肖,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
223,131295,262367,393439,144,Argentine,‒,‒,Manuel Eduardo Berizzo Magnolo,E. BERIZZO,11/13/1969,176991,,,,,FALSE,74,BONDACCHIO,ボンダッキオ,"J. LOGARRETA
C. SALASIBAR
N. ACEDO
J. COTELO
S. DE AYALA","フレン ロガレタ
セレドニオ サラシバール
ナコル アセド
ホセ アンヘル コテロ
サンドロ デ アジャラ",胡伦·洛加雷塔,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
224,131296,262368,393440,204,English,‒,‒,Samuel 'Sam' Allardyce,S. ALLARDYCE,10/19/1954,110693,,,,,FALSE,78,ARTSGERD,アーツガード,"F. GRIER
R. CURRIE
J. PROBERT
V. COLLEY","フレデリック グリアー
ロビン カリー
ジュリアス プロバート
ヴィンス コリー",弗雷德里克·格里尔,PES2021,,PES2019,PES2018,PES2017,PES2016,PES2015
225,131297,262369,393441,226,Norwegian,‒,‒,Henning Stille Berg,,9/1/1969,113155,,H. BERG,ベルク,,TRUE,,,,,,,,,,,,,PES2015
226,131298,262370,393442,230,Russian,‒,‒,Leonid Viktorovich Slutsky,,5/4/1971,125295,Леонид Викторович Слуцкий,L. SLUTSKY,"レオニード スルツキー
スルツキー",莱昂尼德·斯卢茨基,TRUE,73,,,"B. PLEHVE
R. ZAYTSEV
Y. NAVASARDIAN
G. KYREJKO
A. ROGOCHIY
V. DOBROKHOTOV","ベルナルト プレーヴェ
ロラン ザイツェフ
イェフィム ナヴァサルジャン
グエンナディ キレイコ
アレクサンドル ロゴチー
ヴィッサリオン ドブロホトフ",贝尔纳德·普列韦,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
227,131299,262371,393443,228,Portuguese,‒,‒,Luís André de Pina Cabral e Villas-Boas,,10/17/1977,140282,,A. VILLAS-BOAS,"アンドレ ヴィラス ボアス
ヴィラス ボアス",,TRUE,82,,,J. CANTO,ジャニオ カント,雅尼奥·坎托,PES2021,PES2020,,PES2018,,PES2016,PES2015
228,131300,262372,393444,208,French,‒,‒,Laurent Robert Blanc,L. BLANC,11/19/1965,104246,,,,,FALSE,,BANGARD,バンガール,"M. ANISSINA
A. DUJARDIN","ミッシェル アニシナ
アシル エトナ デュジャルダン",,,,,,PES2017,PES2016,PES2015
229,131301,262373,393445,146,Brazilian,‒,‒,Enderson Alves Moreira,E. MOREIRA,9/28/1971,132212,,,,,FALSE,69,MADEIRRA,マデイラ,"S. CORTE REAL
P. NEVES","セルジオ コルテ レアル
ペドロ ネヴェス",塞尔吉奥·科尔特-雷亚尔,PES2021,PES2020,PES2019,,PES2017,PES2016,PES2015
230,131302,262374,393446,146,Brazilian,‒,‒,Eduardo Alexandre Baptista,E. BAPTISTA,3/30/1972,329244,,,,,FALSE,70,BORELHO,ボレーリョ,"X. ALMEIDA
L. PIRES
G. MATA","サンチ アルメイダ
ルイス ピレス
グラウシオ マタ
ラゴ ピレス",尚蒂·阿尔梅达,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
231,131303,262375,393447,236,Spanish,‒,‒,Miguel Ángel Portugal Vicario,M. Á. PORTUGAL,11/28/1955,110788,,,,,FALSE,,,,"J. ESCUDERO
J. TOREGROSA","ファニート エスクデーロ
ヘスス トレグローサ",,,,,PES2018,,PES2016,
232,131304,262376,393448,146,Brazilian,‒,‒,Sebastião Ricardo Drubscky de Campos,R. DRUBSCKY,1/20/1960,168398,,,,,FALSE,70,DABURESKY,ダブレスキ,"P. MENESES
H. BARRETO","プロ メネゼス
エイトル バレト",,,,PES2019,,,PES2016,PES2015
233,131305,262377,393449,146,Brazilian,‒,‒,Marcos Vinícius 'Marquinhos' dos Santos Gonçalves,MARQUINHOS SANTOS,5/24/1979,264954,,,,,FALSE,,SAITIA,サインティア,,,,,,,,,,PES2015
234,131306,262378,393450,146,Brazilian,‒,‒,Celso Juarez Roth,C. ROTH,11/30/1957,131558,,,,,FALSE,,REMURE,レムレ,M. NEVES,マテウス ネヴェス,,,,,,PES2017,,PES2015
235,131307,262379,393451,208,French,‒,‒,Pascal Dupraz,P. DUPRAZ,9/19/1962,263994,,,,,FALSE,71,DOZAMUSCA,ドザムスカ,"M. LAFARGE
M. JOSPIN
M. HOUSSAYE","マニュエル ラファージュ
マリアン ジョスパン
ミッシェル ウーセ",曼努埃尔·拉法热,PES2021,PES2020,,PES2018,PES2017,PES2016,PES2015
236,131308,262380,393452,236,Spanish,‒,‒,Francisco 'Paco' Jémez Martín,PACO JÉMEZ,4/18/1970,216525,,,,,FALSE,75,JAZAME,ハサメ,"C. MORATINOS
I. LAPETRA
G. CORNAGO
I. GINES
T. BAQUERO","クラウディオ モラティノス
イケル ラペトラ
グレゴリオ コルナーゴ
イグナシオ ヒネス
ショミン バケーロ",克劳迪奥·莫拉蒂诺斯,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
237,131309,262381,393453,236,Spanish,‒,‒,Jagoba Arrasate Elustondo,J. ARRASATE,4/22/1978,299315,,,,,FALSE,76,AMIRREA,アミレア,"M. SAURA
T. MEDEM
F. DE QUINTANA","マリオ サウラ
ティモ メデム
フェルナンド デ キンターナ",马里奥·绍拉,PES2021,PES2020,,PES2018,PES2017,PES2016,PES2015
238,131310,262382,393454,236,Spanish,‒,‒,Ernesto 'Txingurri' Valverde Tejedor,,2/9/1964,110782,,E. VALVERDE,エルネスト バルベルデ,埃内斯托·巴尔韦德,TRUE,86,"BERNARD DELIND
VOTORIAZ","ベルナール ドゥラン
ボトリアス","F. AMATRIAIN
G. BOIA
I. MONDEJAR","ファウスト アマトリアイン
ゴルカ ボイーア
イシドロ モンデハル",,,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
239,131311,262383,393455,193,Armenian,208,French,Michel Der Zakarian,M. DER ZAKARIAN,2/18/1963,138865,Միշել Տեր-Զաքարյան,,,,FALSE,74,ZOCLEAR,ゾクレール,"C. HERZ
E. ATTWOOD
S. VIAN
A. SUCHE","カール ハーツ
エドウィン アトウッド
セヴラン ヴィアン
アドルフ アンドレ シュシュ",卡尔·赫茨,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
240,131312,262384,393456,208,French,‒,‒,Sylvain Ripoll,S. RIPOLL,8/15/1971,304818,,,,,FALSE,,RAPIHA,ラピア,"A. LE PORTIER
V. DE LA GUERRE","アントン ル ポルティエ
ヴィルジール ド ラ ゲール",,,,,,PES2017,PES2016,PES2015
241,131313,262385,393457,208,French,‒,‒,Thierry Debès,T. DEBÈS,1/13/1974,37528,,,,,FALSE,,BOUTONBES,ブトンブ,,,,,,,,,,PES2015
242,131314,262386,393458,208,French,‒,‒,Philippe Hinschberger,P. HINSCHBERGER,11/19/1959,138867,,,,,FALSE,71,HUUTEROER,ウーテロール,"C. VIAN
E. LECLERE
M. BROCHARD
J. TRENET","シャルル アンリ ヴィアン
エタン レクレール
ミカエル ブロシャール
ジャン マルク トレネ",夏尔-亨利·维安,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
243,131315,262387,393459,208,French,‒,‒,Régis Brouard,R. BROUARD,1/17/1967,156350,,,,,FALSE,65,BREINTP,ブレント,"A. LEAUD
P. VERNAY","アシル レオ
ピエール シモン ヴェルネ",,,,PES2019,,,PES2016,PES2015
244,131316,262388,393460,208,French,‒,‒,Patrice Garande,P. GARANDE,11/27/1960,171997,,,,,FALSE,74,GUISSOGNE,ギゾーニュ,"U. DE LACAILLE
J. DUHAMEL
R. LOUVEAU
O. FRANCEUR","ユルバン ド ラカーユ
ジェローム デュアメル
レジス ルーボー
オクタヴィアン フランクール",于尔班·德拉卡耶,PES2021,,PES2019,PES2018,PES2017,PES2016,PES2015
245,131317,262389,393461,208,French,‒,‒,Olivier Dall'Oglio,O. DALL'OGLIO,5/16/1964,254286,,,,,FALSE,,DEMSAUNE,デンゾーヌ,,,,,,,,,,PES2015
246,131318,262390,393462,208,French,‒,‒,Olivier Pantaloni,O. PANTALONI,12/13/1966,138882,,,,,FALSE,66,PERGARLI,ペルガリ,"A. FOCH
J. KLOTZ
G. MAS
R. CASADESUS","アメデ エルネスト フォッシュ
ジョアシャン クロッツ
ガエル マス
レジス カサドシュ",阿梅代-埃内斯特·福修,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
247,131319,262391,393463,208,French,‒,‒,Jean-Marc Furlan,J.-M. FURLAN,11/20/1957,138880,,,,,FALSE,73,FORLEHAIN,フォルルアン,"T. SEVRAN
C. SYLVIE
B. GASTALDI","タパニ セヴラン
シャルロ シルヴィー
バルトロメ ガスタルディ",塔帕尼·塞夫朗,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
248,131320,262392,393464,226,Norwegian,‒,‒,Per-Mathias Høgmo,P. HØGMO,12/1/1959,113156,,,,,FALSE,,HEIM,ハイム,"J. RAYMOND
C. RIDOUT","ジョニー レイモンド
コンスタンス リドー",,,,,,PES2017,PES2016,PES2015
249,131321,262393,393465,228,Portuguese,‒,‒,Sérgio Paulo Marceneiro da Conceição,,11/15/1974,224029,,S. CONCEIÇÃO,セルジオ コンセイソン,塞尔吉奥·孔塞桑,TRUE,78,CATRAZ,カトラズ,"L. ANTUNES
O. ATAIDE
B. GOIS","ルイス アントゥネス
オリンピオ アタイジ
ブリジド ゴイス",,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
250,131322,262394,393466,228,Portuguese,‒,‒,Leonel Pontes da Encarnação,,7/9/1972,340841,,LEONEL PONTES,レオネル ポンテス,莱昂内尔·庞特斯,TRUE,68,PINTIM,ピンティン,,,,,PES2020,,,,,PES2015
251,131323,262395,393467,228,Portuguese,‒,‒,Domingos José Paciência Oliveira,D. PACIÊNCIA,1/2/1969,138284,,,,,FALSE,,PAMQUERAL,パンケラウ,"A. NOGUEIRA
I. CORREIA","アマンヂオ ノゲイラ
イナシオ コレイア",,,,,PES2018,,,PES2015
252,131324,262396,393468,228,Portuguese,‒,‒,José Júlio de Carvalho Peyroteo Martins Couceiro,,10/4/1962,110722,,JOSÉ COUCEIRO,ジョゼ コウセイロ,,TRUE,72,CUSQUIAL,クスキアウ,"L. MALAFAIA
L. ATAIDE
B. ATAIDE","レアンドロ マラファイア
ルイス アタイジ
バルトロメウ アタイジ",,,,PES2019,PES2018,PES2017,,PES2015
253,131325,262397,393469,227,Polish,‒,‒,João Carlos Pires de Deus,J. DE DEUS,11/6/1976,195794,,,,,FALSE,,DZERATI,ジェラティ,,,,,,,,,,PES2015
254,131326,262398,393470,228,Portuguese,‒,‒,José Carlos 'Lito' Fernandes Vidigal,,7/11/1969,182985,,LITO VIDIGAL,"リト ヴィジガウ
リト ヴィディガル",利托·维迪加尔,TRUE,70,VALRINHO,ヴァウリーニョ,"C. ARCA
J. MALAFAIA
J. PERES","クルス アルカ
ジョアン マラファイア
ジョアキン ペレス",,PES2021,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
255,131327,262399,393471,208,French,‒,‒,Olivier Frapolli,O. FRAPOLLI,9/27/1971,256852,,,,,FALSE,,FREIMTIN,フレンタン,"L. VOYNET
M. LANTIERI","ルイ フェルディナン ヴォワネ
マルタン ランチエリ",,,,,PES2018,PES2017,,PES2015
256,131328,262400,393472,207,Finnish,‒,‒,Mika-Matti Petteri 'Mixu' Paatelainen,M. PAATELAINEN,2/3/1967,167639,,,,,FALSE,,PIINAADSON,ピーナードソン,,,,,,,,,,PES2015
257,131329,262401,393473,208,French,‒,‒,Olivier Echouafni,O. ECHOUAFNI,9/13/1972,1269,,,,,FALSE,,EQUACHEROULI,エカチェルリ,G. BECAUD,ガブリエル ベコー,,,,,,,PES2016,PES2015
258,131330,262402,393474,208,French,‒,‒,Claude Makélélé Sinda,,2/18/1973,545,,C. MAKÉLÉLÉ,クロード マケレレ,克劳德·马克莱莱,TRUE,68,MOUCHICHI,ムチチ,,,,,PES2020,PES2019,,,,PES2015
259,131331,262403,393475,208,French,‒,‒,Bernard Casoni,B. CASONI,9/4/1961,138864,,,,,FALSE,,CONTHRER,コントレル,"D. HASH
W. ESCUDE","ドナシファン アッシュ
ウィリアム エキューデ",,,,,PES2018,PES2017,,PES2015
260,131332,262404,393476,208,French,‒,‒,Antoine Kombouaré,A. KOMBOUARÉ,11/16/1963,110847,,,,,FALSE,75,KATANIER,カタニル,"P. MARTEAU
N. SPIRA
F. SALOMON
L. BOUMSONG","ピエール マルトー
ニルス スピラ
フランク サロモン
レオポルド ブームソン",皮埃尔·马尔托,,PES2020,PES2019,PES2018,PES2017,PES2016,PES2015
261,131333,262405,393477,208,French,‒,‒,Alex Dupont,A. DUPONT,5/30/1954,138173,,,,,FALSE,,DECONMP,ドゥコン,"R. LACEPEDE
J. ROBIN","レジス ラスペード
ジュリアン ロバン",,,,,,PES2017,PES2016,PES2015
262,131334,262406,393478,208,French,‒,‒,Christophe Pélissier,C. PÉLISSIER,10/5/1965,144336,,,,,FALSE,76,,,"A. HIGNARD
E. TURPIN
R. OUDOT","アルフォンス イニャール
エルネスト テュルパン
ロマン ウード",阿尔方斯·伊纳,PES2021,PES2020,PES2019,PES2018,PES2017,,
263,131335,262407,393479,208,French,‒,‒,Corinne Diacre,C. DIACRE,8/4/1974,243177,,,,,FALSE,,DACLOUB,ダクル,"F. HENNO
G. BARRAULT
E. LAZARUS","フランソワ イッポリト エノ
ギヨーム バロー
エンゾ ラザリュス",,,,,PES2018,PES2017,PES2016,PES2015
264,131336,262408,393480,208,French,‒,‒,Denis Zanko,D. ZANKO,4/13/1964,163480,,,,,FALSE,62,ZEROUBERD,ゼルベール,"L. BRAQUE
P. MONDY
C. VIRENQUE","ルイ シャルル ブラック
ピエール モンディ
コンスタンタン ヴィランク",,PES2021,PES2020,,,PES2017,PES2016,PES2015
265,131337,262409,393481,208,French,‒,‒,José Pasqualetti,J. PASQUALETTI,9/27/1956,138883,,,,,FALSE,,PILIUQUI,ピリウキ,L. FRESSON,リュカ フレッソン,,,,,,,PES2016,PES2015
266,131338,262410,393482,208,French,‒,‒,Philippe Montanier,,11/15/1964,110858,,P. MONTANIER,フィリップ モンタニエ,菲利普·蒙塔尼耶,TRUE,71,MEQUANIOR,メカニオール,"G. BISSERRIER
F. SEMET","ギー ビザリア
フィニョン スメー",居伊·比塞里埃,PES2021,PES2020,PES2019,,PES2017,PES2016,PES2015
267,131339,262411,393483,197,Belgian,‒,‒,Bob Peeters,B. PEETERS,1/10/1974,133486,,,,,FALSE,,PAASTRAM,パーストラン,,,,,,,,,,PES2015
268,131340,262412,393484,232,Scottish,‒,‒,Gordon David Strachan,G. STRACHAN,2/9/1957,149359,,,,,FALSE,76,SHOTTCAYNE,ショットケイン,"D. PEMBRIDGE
D. BUTTERWORTH
C. FOSTER","ダヴィ ペンブリッジ
ダッド バタワース
セドリック フォスター",,,,PES2019,PES2018,PES2017,PES2016,PES2015
